Date : 2026-03-11 22:05:45
Directory : a:\GCET BLOG\GcetBlog
Total : 585 files,  96800 codes, 5018 comments, 11355 blanks, all 113173 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| a:\GCET BLOG\GcetBlog\src\app\contributor\templates\page.tsx                          | TypeScript JSX     |         64 |          2 |         10 |         76 |
| a:\GCET BLOG\GcetBlog\src\app\layout.tsx                                              | TypeScript JSX     |         24 |          0 |          5 |         29 |
| a:\GCET BLOG\GcetBlog\src\app\platform\actions.ts                                     | TypeScript         |        126 |          3 |         21 |        150 |
| a:\GCET BLOG\GcetBlog\src\app\platform\components\InstitutionForm.tsx                 | TypeScript JSX     |        532 |          8 |         33 |        573 |
| a:\GCET BLOG\GcetBlog\src\app\platform\components\PlatformSidebar.tsx                 | TypeScript JSX     |         69 |          3 |         10 |         82 |
| a:\GCET BLOG\GcetBlog\src\app\platform\institutions\[id]\page.tsx                     | TypeScript JSX     |        129 |          1 |         12 |        142 |
| a:\GCET BLOG\GcetBlog\src\app\platform\institutions\components\InstitutionActions.tsx | TypeScript JSX     |        139 |          1 |         10 |        150 |
| a:\GCET BLOG\GcetBlog\src\app\platform\institutions\new\page.tsx                      | TypeScript JSX     |         36 |          1 |          7 |         44 |
| a:\GCET BLOG\GcetBlog\src\app\platform\institutions\page.tsx                          | TypeScript JSX     |        142 |          2 |          9 |        153 |
| a:\GCET BLOG\GcetBlog\src\app\platform\layout.tsx                                     | TypeScript JSX     |         47 |          1 |          7 |         55 |
| a:\GCET BLOG\GcetBlog\src\app\platform\page.tsx                                       | TypeScript JSX     |        221 |          7 |         14 |        242 |
| a:\GCET BLOG\GcetBlog\src\app\platform\users\page.tsx                                 | TypeScript JSX     |        186 |          4 |         16 |        206 |
| a:\GCET BLOG\GcetBlog\src\app\user\activity\ActivityClient.tsx                        | TypeScript JSX     |        170 |          0 |          8 |        178 |
| a:\GCET BLOG\GcetBlog\src\app\user\activity\loading.tsx                               | TypeScript JSX     |          4 |          0 |          2 |          6 |
| a:\GCET BLOG\GcetBlog\src\app\user\activity\page.tsx                                  | TypeScript JSX     |         56 |          1 |         13 |         70 |
| a:\GCET BLOG\GcetBlog\src\app\user\analytics\loading.tsx                              | TypeScript JSX     |         22 |          0 |          2 |         24 |
| a:\GCET BLOG\GcetBlog\src\app\user\analytics\page.tsx                                 | TypeScript JSX     |        350 |         23 |         16 |        389 |
| a:\GCET BLOG\GcetBlog\src\app\user\categories\CategoryForm.tsx                        | TypeScript JSX     |        110 |          0 |         14 |        124 |
| a:\GCET BLOG\GcetBlog\src\app\user\categories\CategoryManager.tsx                     | TypeScript JSX     |        379 |          4 |         29 |        412 |
| a:\GCET BLOG\GcetBlog\src\app\user\categories\loading.tsx                             | TypeScript JSX     |          4 |          0 |          2 |          6 |
| a:\GCET BLOG\GcetBlog\src\app\user\categories\page.tsx                                | TypeScript JSX     |         49 |          3 |          8 |         60 |
| a:\GCET BLOG\GcetBlog\src\app\user\clubs\[id]\edit\page.tsx                           | TypeScript JSX     |        128 |          5 |         19 |        152 |
| a:\GCET BLOG\GcetBlog\src\app\user\clubs\create\ClubForm.tsx                          | TypeScript JSX     |        659 |         20 |         46 |        725 |
| a:\GCET BLOG\GcetBlog\src\app\user\clubs\create\page.tsx                              | TypeScript JSX     |         42 |          2 |         10 |         54 |
| a:\GCET BLOG\GcetBlog\src\app\user\clubs\page.tsx                                     | TypeScript JSX     |        225 |          5 |         13 |        243 |
| a:\GCET BLOG\GcetBlog\src\app\user\clubs\sync-preview\page.tsx                        | TypeScript JSX     |        182 |          4 |         13 |        199 |
| a:\GCET BLOG\GcetBlog\src\app\user\comments\CommentModerationList.tsx                 | TypeScript JSX     |        215 |          2 |         22 |        239 |
| a:\GCET BLOG\GcetBlog\src\app\user\comments\loading.tsx                               | TypeScript JSX     |          4 |          0 |          2 |          6 |
| a:\GCET BLOG\GcetBlog\src\app\user\comments\page.tsx                                  | TypeScript JSX     |        185 |          8 |         20 |        213 |
| a:\GCET BLOG\GcetBlog\src\app\user\content\ContentManagerClient.tsx                   | TypeScript JSX     |        654 |         13 |         35 |        702 |
| a:\GCET BLOG\GcetBlog\src\app\user\content\actions.ts                                 | TypeScript         |        108 |          9 |         21 |        138 |
| a:\GCET BLOG\GcetBlog\src\app\user\content\loading.tsx                                | TypeScript JSX     |          4 |          0 |          2 |          6 |
| a:\GCET BLOG\GcetBlog\src\app\user\content\page.tsx                                   | TypeScript JSX     |         41 |          4 |          7 |         52 |
| a:\GCET BLOG\GcetBlog\src\app\user\events\[id]\edit\page.tsx                          | TypeScript JSX     |        138 |          6 |         19 |        163 |
| a:\GCET BLOG\GcetBlog\src\app\user\events\create\EventForm.tsx                        | TypeScript JSX     |        676 |         22 |         51 |        749 |
| a:\GCET BLOG\GcetBlog\src\app\user\events\create\page.tsx                             | TypeScript JSX     |         55 |          2 |         10 |         67 |
| a:\GCET BLOG\GcetBlog\src\app\user\events\page.tsx                                    | TypeScript JSX     |        242 |          6 |         15 |        263 |
| a:\GCET BLOG\GcetBlog\src\app\user\events\sync-preview\page.tsx                       | TypeScript JSX     |        198 |          8 |         13 |        219 |
| a:\GCET BLOG\GcetBlog\src\app\user\layout.tsx                                         | TypeScript JSX     |         88 |          4 |         12 |        104 |
| a:\GCET BLOG\GcetBlog\src\app\user\loading.tsx                                        | TypeScript JSX     |          4 |          0 |          2 |          6 |
| a:\GCET BLOG\GcetBlog\src\app\user\logs\LogsClient.tsx                                | TypeScript JSX     |        141 |          0 |          7 |        148 |
| a:\GCET BLOG\GcetBlog\src\app\user\logs\loading.tsx                                   | TypeScript JSX     |          4 |          0 |          2 |          6 |
| a:\GCET BLOG\GcetBlog\src\app\user\logs\page.tsx                                      | TypeScript JSX     |         56 |          1 |         13 |         70 |
| a:\GCET BLOG\GcetBlog\src\app\user\media\MediaGridClient.tsx                          | TypeScript JSX     |        378 |         11 |         22 |        411 |
| a:\GCET BLOG\GcetBlog\src\app\user\media\loading.tsx                                  | TypeScript JSX     |          4 |          0 |          2 |          6 |
| a:\GCET BLOG\GcetBlog\src\app\user\media\page.tsx                                     | TypeScript JSX     |         72 |          4 |         12 |         88 |
| a:\GCET BLOG\GcetBlog\src\app\user\newsletter\NewslettersTable.tsx                    | TypeScript JSX     |        123 |         13 |         15 |        151 |
| a:\GCET BLOG\GcetBlog\src\app\user\newsletter\[id]\page.tsx                           | TypeScript JSX     |        286 |         10 |         21 |        317 |
| a:\GCET BLOG\GcetBlog\src\app\user\newsletter\actions.ts                              | TypeScript         |        343 |         44 |         49 |        436 |
| a:\GCET BLOG\GcetBlog\src\app\user\newsletter\compose\ComposeForm.tsx                 | TypeScript JSX     |        230 |         12 |         18 |        260 |
| a:\GCET BLOG\GcetBlog\src\app\user\newsletter\compose\page.tsx                        | TypeScript JSX     |         60 |          7 |         11 |         78 |
| a:\GCET BLOG\GcetBlog\src\app\user\newsletter\loading.tsx                             | TypeScript JSX     |          4 |          0 |          2 |          6 |
| a:\GCET BLOG\GcetBlog\src\app\user\newsletter\page.tsx                                | TypeScript JSX     |        222 |         15 |         22 |        259 |
| a:\GCET BLOG\GcetBlog\src\app\user\newsletter\subscribers\SubscriberActions.tsx       | TypeScript JSX     |         84 |          1 |         15 |        100 |
| a:\GCET BLOG\GcetBlog\src\app\user\newsletter\subscribers\SubscribersTable.tsx        | TypeScript JSX     |        125 |         11 |         14 |        150 |
| a:\GCET BLOG\GcetBlog\src\app\user\newsletter\subscribers\page.tsx                    | TypeScript JSX     |        166 |         11 |         18 |        195 |
| a:\GCET BLOG\GcetBlog\src\app\user\page.tsx                                           | TypeScript JSX     |        223 |          4 |         19 |        246 |
| a:\GCET BLOG\GcetBlog\src\app\user\pages\[id]\edit\page.tsx                           | TypeScript JSX     |        179 |         11 |         24 |        214 |
| a:\GCET BLOG\GcetBlog\src\app\user\pages\create\PageForm.tsx                          | TypeScript JSX     |      1,186 |         80 |        103 |      1,369 |
| a:\GCET BLOG\GcetBlog\src\app\user\pages\create\page.tsx                              | TypeScript JSX     |         41 |          2 |          9 |         52 |
| a:\GCET BLOG\GcetBlog\src\app\user\pages\page.tsx                                     | TypeScript JSX     |        209 |          5 |         14 |        228 |
| a:\GCET BLOG\GcetBlog\src\app\user\posts\[id]\edit\PostForm.tsx                       | TypeScript JSX     |        646 |         19 |         49 |        714 |
| a:\GCET BLOG\GcetBlog\src\app\user\posts\[id]\edit\page.tsx                           | TypeScript JSX     |        107 |          5 |         16 |        128 |
| a:\GCET BLOG\GcetBlog\src\app\user\posts\create\PostForm.tsx                          | TypeScript JSX     |        646 |         19 |         49 |        714 |
| a:\GCET BLOG\GcetBlog\src\app\user\posts\create\page.tsx                              | TypeScript JSX     |         70 |          6 |         10 |         86 |
| a:\GCET BLOG\GcetBlog\src\app\user\profile\page.tsx                                   | TypeScript JSX     |        495 |         14 |         44 |        553 |
| a:\GCET BLOG\GcetBlog\src\app\user\queue\ApprovalButtons.tsx                          | TypeScript JSX     |        122 |          2 |          9 |        133 |
| a:\GCET BLOG\GcetBlog\src\app\user\queue\EditorQueueList.tsx                          | TypeScript JSX     |        196 |          4 |         19 |        219 |
| a:\GCET BLOG\GcetBlog\src\app\user\queue\QueueTableClient.tsx                         | TypeScript JSX     |        111 |          0 |          8 |        119 |
| a:\GCET BLOG\GcetBlog\src\app\user\queue\actions.ts                                   | TypeScript         |        123 |         11 |         22 |        156 |
| a:\GCET BLOG\GcetBlog\src\app\user\queue\loading.tsx                                  | TypeScript JSX     |          4 |          0 |          2 |          6 |
| a:\GCET BLOG\GcetBlog\src\app\user\queue\page.tsx                                     | TypeScript JSX     |        132 |          6 |         16 |        154 |
| a:\GCET BLOG\GcetBlog\src\app\user\settings\loading.tsx                               | TypeScript JSX     |         19 |          0 |          2 |         21 |
| a:\GCET BLOG\GcetBlog\src\app\user\settings\page.tsx                                  | TypeScript JSX     |        309 |         12 |         24 |        345 |
| a:\GCET BLOG\GcetBlog\src\app\user\system\conosco\page.tsx                            | TypeScript JSX     |        229 |          9 |         19 |        257 |
| a:\GCET BLOG\GcetBlog\src\app\user\templates\TemplateForm.tsx                         | TypeScript JSX     |        541 |         29 |         50 |        620 |
| a:\GCET BLOG\GcetBlog\src\app\user\templates\TemplatesPageClient.tsx                  | TypeScript JSX     |        468 |         21 |         31 |        520 |
| a:\GCET BLOG\GcetBlog\src\app\user\templates\[id]\edit\page.tsx                       | TypeScript JSX     |         54 |          0 |          8 |         62 |
| a:\GCET BLOG\GcetBlog\src\app\user\templates\create\page.tsx                          | TypeScript JSX     |         21 |          0 |          5 |         26 |
| a:\GCET BLOG\GcetBlog\src\app\user\templates\loading.tsx                              | TypeScript JSX     |          4 |          0 |          2 |          6 |
| a:\GCET BLOG\GcetBlog\src\app\user\templates\page.tsx                                 | TypeScript JSX     |         76 |          1 |         11 |         88 |
| a:\GCET BLOG\GcetBlog\src\app\user\users\RoleManagementDialog.tsx                     | TypeScript JSX     |        413 |         19 |         36 |        468 |
| a:\GCET BLOG\GcetBlog\src\app\user\users\UserActions.tsx                              | TypeScript JSX     |        198 |          3 |         20 |        221 |
| a:\GCET BLOG\GcetBlog\src\app\user\users\UsersTableClient.tsx                         | TypeScript JSX     |        247 |          5 |         10 |        262 |
| a:\GCET BLOG\GcetBlog\src\app\user\users\actions.ts                                   | TypeScript         |        424 |         42 |         80 |        546 |
| a:\GCET BLOG\GcetBlog\src\app\user\users\loading.tsx                                  | TypeScript JSX     |          4 |          0 |          2 |          6 |
| a:\GCET BLOG\GcetBlog\src\app\user\users\page.tsx                                     | TypeScript JSX     |        107 |          8 |         19 |        134 |
| a:\GCET BLOG\GcetBlog\src\blocks\ArchiveBlock\Component.tsx                           | TypeScript JSX     |         54 |          0 |         12 |         66 |
| a:\GCET BLOG\GcetBlog\src\blocks\ArchiveBlock\config.ts                               | TypeScript         |         92 |          0 |          3 |         95 |
| a:\GCET BLOG\GcetBlog\src\blocks\Banner\Component.tsx                                 | TypeScript JSX     |         23 |          0 |          4 |         27 |
| a:\GCET BLOG\GcetBlog\src\blocks\Banner\config.ts                                     | TypeScript         |         35 |          0 |          3 |         38 |
| a:\GCET BLOG\GcetBlog\src\blocks\CallToAction\Component.tsx                           | TypeScript JSX     |         20 |          0 |          4 |         24 |
| a:\GCET BLOG\GcetBlog\src\blocks\CallToAction\config.ts                               | TypeScript         |         39 |          0 |          4 |         43 |
| a:\GCET BLOG\GcetBlog\src\blocks\Code\Component.client.tsx                            | TypeScript JSX     |         30 |          0 |          4 |         34 |
| a:\GCET BLOG\GcetBlog\src\blocks\Code\Component.tsx                                   | TypeScript JSX     |         17 |          0 |          5 |         22 |
| a:\GCET BLOG\GcetBlog\src\blocks\Code\CopyButton.tsx                                  | TypeScript JSX     |         30 |          0 |          4 |         34 |
| a:\GCET BLOG\GcetBlog\src\blocks\Code\config.ts                                       | TypeScript         |         32 |          0 |          2 |         34 |
| a:\GCET BLOG\GcetBlog\src\blocks\Contact\Component.tsx                                | TypeScript JSX     |        125 |          2 |          8 |        135 |
| a:\GCET BLOG\GcetBlog\src\blocks\Contact\config.ts                                    | TypeScript         |         61 |          0 |          2 |         63 |
| a:\GCET BLOG\GcetBlog\src\blocks\Content\Component.tsx                                | TypeScript JSX     |         36 |          0 |          8 |         44 |
| a:\GCET BLOG\GcetBlog\src\blocks\Content\config.ts                                    | TypeScript         |         75 |          0 |          5 |         80 |
| a:\GCET BLOG\GcetBlog\src\blocks\Countdown\Component.tsx                              | TypeScript JSX     |         87 |          0 |         12 |         99 |
| a:\GCET BLOG\GcetBlog\src\blocks\Countdown\config.ts                                  | TypeScript         |         33 |          0 |          2 |         35 |
| a:\GCET BLOG\GcetBlog\src\blocks\EventsFeed\Component.tsx                             | TypeScript JSX     |        156 |          1 |         12 |        169 |
| a:\GCET BLOG\GcetBlog\src\blocks\EventsFeed\config.ts                                 | TypeScript         |         46 |          0 |          2 |         48 |
| a:\GCET BLOG\GcetBlog\src\blocks\Form\Checkbox\index.tsx                              | TypeScript JSX     |         40 |          0 |          6 |         46 |
| a:\GCET BLOG\GcetBlog\src\blocks\Form\Component.tsx                                   | TypeScript JSX     |        139 |          2 |         23 |        164 |
| a:\GCET BLOG\GcetBlog\src\blocks\Form\Country\index.tsx                               | TypeScript JSX     |         60 |          0 |          6 |         66 |
| a:\GCET BLOG\GcetBlog\src\blocks\Form\Country\options.ts                              | TypeScript         |        982 |          0 |          1 |        983 |
| a:\GCET BLOG\GcetBlog\src\blocks\Form\Email\index.tsx                                 | TypeScript JSX     |         33 |          0 |          6 |         39 |
| a:\GCET BLOG\GcetBlog\src\blocks\Form\Error\index.tsx                                 | TypeScript JSX     |         13 |          0 |          3 |         16 |
| a:\GCET BLOG\GcetBlog\src\blocks\Form\Message\index.tsx                               | TypeScript JSX     |         11 |          0 |          3 |         14 |
| a:\GCET BLOG\GcetBlog\src\blocks\Form\Number\index.tsx                                | TypeScript JSX     |         33 |          0 |          4 |         37 |
| a:\GCET BLOG\GcetBlog\src\blocks\Form\Select\index.tsx                                | TypeScript JSX     |         59 |          0 |          5 |         64 |
| a:\GCET BLOG\GcetBlog\src\blocks\Form\State\index.tsx                                 | TypeScript JSX     |         60 |          0 |          5 |         65 |
| a:\GCET BLOG\GcetBlog\src\blocks\Form\State\options.ts                                | TypeScript         |         52 |          0 |          1 |         53 |
| a:\GCET BLOG\GcetBlog\src\blocks\Form\Text\index.tsx                                  | TypeScript JSX     |         28 |          0 |          5 |         33 |
| a:\GCET BLOG\GcetBlog\src\blocks\Form\Textarea\index.tsx                              | TypeScript JSX     |         34 |          0 |          7 |         41 |
| a:\GCET BLOG\GcetBlog\src\blocks\Form\Width\index.tsx                                 | TypeScript JSX     |         12 |          0 |          2 |         14 |
| a:\GCET BLOG\GcetBlog\src\blocks\Form\config.ts                                       | TypeScript         |         49 |          0 |          3 |         52 |
| a:\GCET BLOG\GcetBlog\src\blocks\Form\fields.tsx                                      | TypeScript JSX     |         20 |          0 |          2 |         22 |
| a:\GCET BLOG\GcetBlog\src\blocks\GalleryPreview\Component.tsx                         | TypeScript JSX     |        101 |          1 |          8 |        110 |
| a:\GCET BLOG\GcetBlog\src\blocks\GalleryPreview\config.ts                             | TypeScript         |         51 |          0 |          2 |         53 |
| a:\GCET BLOG\GcetBlog\src\blocks\InstagramEmbed\Component.client.tsx                  | TypeScript JSX     |         75 |          4 |         11 |         90 |
| a:\GCET BLOG\GcetBlog\src\blocks\InstagramEmbed\Component.tsx                         | TypeScript JSX     |         17 |          0 |          4 |         21 |
| a:\GCET BLOG\GcetBlog\src\blocks\InstagramEmbed\config.ts                             | TypeScript         |         29 |          0 |          2 |         31 |
| a:\GCET BLOG\GcetBlog\src\blocks\MediaBlock\Component.tsx                             | TypeScript JSX     |         60 |          0 |          8 |         68 |
| a:\GCET BLOG\GcetBlog\src\blocks\MediaBlock\config.ts                                 | TypeScript         |         13 |          0 |          2 |         15 |
| a:\GCET BLOG\GcetBlog\src\blocks\RelatedPosts\Component.tsx                           | TypeScript JSX     |         25 |          0 |          8 |         33 |
| a:\GCET BLOG\GcetBlog\src\blocks\RenderBlocks.tsx                                     | TypeScript JSX     |         59 |          1 |         10 |         70 |
| a:\GCET BLOG\GcetBlog\src\blocks\Schedule\Component.tsx                               | TypeScript JSX     |        104 |          0 |          9 |        113 |
| a:\GCET BLOG\GcetBlog\src\blocks\Schedule\config.ts                                   | TypeScript         |         59 |          0 |          2 |         61 |
| a:\GCET BLOG\GcetBlog\src\blocks\Sponsors\Component.tsx                               | TypeScript JSX     |         89 |          1 |         12 |        102 |
| a:\GCET BLOG\GcetBlog\src\blocks\Sponsors\config.ts                                   | TypeScript         |         56 |          0 |          2 |         58 |
| a:\GCET BLOG\GcetBlog\src\blocks\StatsBlock\Component.tsx                             | TypeScript JSX     |         76 |          0 |          7 |         83 |
| a:\GCET BLOG\GcetBlog\src\blocks\StatsBlock\config.ts                                 | TypeScript         |         52 |          0 |          2 |         54 |
| a:\GCET BLOG\GcetBlog\src\blocks\TeamGrid\Component.tsx                               | TypeScript JSX     |        122 |          1 |          7 |        130 |
| a:\GCET BLOG\GcetBlog\src\blocks\TeamGrid\config.ts                                   | TypeScript         |         58 |          0 |          2 |         60 |
| a:\GCET BLOG\GcetBlog\src\blocks\Testimonials\Component.tsx                           | TypeScript JSX     |         99 |          1 |          8 |        108 |
| a:\GCET BLOG\GcetBlog\src\blocks\Testimonials\config.ts                               | TypeScript         |         53 |          0 |          2 |         55 |
| a:\GCET BLOG\GcetBlog\src\blocks\YouTubeEmbed\Component.client.tsx                    | TypeScript JSX     |         50 |          1 |          9 |         60 |
| a:\GCET BLOG\GcetBlog\src\blocks\YouTubeEmbed\Component.tsx                           | TypeScript JSX     |         17 |          0 |          4 |         21 |
| a:\GCET BLOG\GcetBlog\src\blocks\YouTubeEmbed\config.ts                               | TypeScript         |         29 |          0 |          2 |         31 |
| a:\GCET BLOG\GcetBlog\src\collections\AdminLogs\index.ts                              | TypeScript         |        142 |          0 |          2 |        144 |
| a:\GCET BLOG\GcetBlog\src\collections\Categories.ts                                   | TypeScript         |         28 |          0 |          3 |         31 |
| a:\GCET BLOG\GcetBlog\src\collections\Comments\index.ts                               | TypeScript         |        217 |          8 |          7 |        232 |
| a:\GCET BLOG\GcetBlog\src\collections\Feedback.ts                                     | TypeScript         |        103 |          0 |          2 |        105 |
| a:\GCET BLOG\GcetBlog\src\collections\Institutions\index.ts                           | TypeScript         |        327 |         18 |          9 |        354 |
| a:\GCET BLOG\GcetBlog\src\collections\Media.ts                                        | TypeScript         |        124 |          1 |          4 |        129 |
| a:\GCET BLOG\GcetBlog\src\collections\Media\hooks\uploadToCloudinary.ts               | TypeScript         |         42 |          6 |         11 |         59 |
| a:\GCET BLOG\GcetBlog\src\collections\Media\hooks\useCloudinaryFallback.ts            | TypeScript         |         15 |          5 |          3 |         23 |
| a:\GCET BLOG\GcetBlog\src\collections\NewsletterEvents\index.ts                       | TypeScript         |         86 |          3 |          2 |         91 |
| a:\GCET BLOG\GcetBlog\src\collections\NewsletterSubscribers\index.ts                  | TypeScript         |        155 |          4 |          2 |        161 |
| a:\GCET BLOG\GcetBlog\src\collections\Newsletters\index.ts                            | TypeScript         |        193 |          7 |          8 |        208 |
| a:\GCET BLOG\GcetBlog\src\collections\PageViews\index.ts                              | TypeScript         |        112 |          3 |          2 |        117 |
| a:\GCET BLOG\GcetBlog\src\collections\Pages\hooks\revalidatePage.ts                   | TypeScript         |         32 |          1 |         11 |         44 |
| a:\GCET BLOG\GcetBlog\src\collections\Pages\index.ts                                  | TypeScript         |        147 |          5 |          6 |        158 |
| a:\GCET BLOG\GcetBlog\src\collections\Posts\hooks\populateAuthors.ts                  | TypeScript         |         27 |          5 |          6 |         38 |
| a:\GCET BLOG\GcetBlog\src\collections\Posts\hooks\revalidatePost.ts                   | TypeScript         |         36 |          1 |         12 |         49 |
| a:\GCET BLOG\GcetBlog\src\collections\Posts\index.ts                                  | TypeScript         |        410 |         13 |          8 |        431 |
| a:\GCET BLOG\GcetBlog\src\collections\Templates.ts                                    | TypeScript         |        216 |          0 |          8 |        224 |
| a:\GCET BLOG\GcetBlog\src\collections\Users\index.ts                                  | TypeScript         |        262 |         31 |          3 |        296 |
| a:\GCET BLOG\GcetBlog\src\collections\Votes\index.ts                                  | TypeScript         |         95 |          8 |          3 |        106 |
| a:\GCET BLOG\GcetBlog\src\components\AdminBar\index.scss                              | SCSS               |          6 |          0 |          2 |          8 |
| a:\GCET BLOG\GcetBlog\src\components\AdminBar\index.tsx                               | TypeScript JSX     |         79 |          0 |         11 |         90 |
| a:\GCET BLOG\GcetBlog\src\components\AdminLogout\index.tsx                            | TypeScript JSX     |         29 |          2 |          5 |         36 |
| a:\GCET BLOG\GcetBlog\src\components\AdminLogout\styles.css                           | PostCSS            |         13 |          0 |          2 |         15 |
| a:\GCET BLOG\GcetBlog\src\components\AdminUI\CustomDashboard.tsx                      | TypeScript JSX     |        358 |          9 |         20 |        387 |
| a:\GCET BLOG\GcetBlog\src\components\AdminUI\CustomLogo.tsx                           | TypeScript JSX     |         14 |          0 |          3 |         17 |
| a:\GCET BLOG\GcetBlog\src\components\AdminUI\CustomNav.tsx                            | TypeScript JSX     |         84 |          3 |         10 |         97 |
| a:\GCET BLOG\GcetBlog\src\components\BeforeDashboard\SeedButton\index.scss            | SCSS               |         11 |          0 |          2 |         13 |
| a:\GCET BLOG\GcetBlog\src\components\BeforeDashboard\SeedButton\index.tsx             | TypeScript JSX     |         78 |          0 |         11 |         89 |
| a:\GCET BLOG\GcetBlog\src\components\BeforeDashboard\index.scss                       | SCSS               |         19 |          0 |          6 |         25 |
| a:\GCET BLOG\GcetBlog\src\components\BeforeDashboard\index.tsx                        | TypeScript JSX     |         44 |          0 |          5 |         49 |
| a:\GCET BLOG\GcetBlog\src\components\BeforeLogin\index.tsx                            | TypeScript JSX     |         12 |          0 |          3 |         15 |
| a:\GCET BLOG\GcetBlog\src\components\Card\index.tsx                                   | TypeScript JSX     |        126 |          5 |         14 |        145 |
| a:\GCET BLOG\GcetBlog\src\components\ClubThemeWrapper.tsx                             | TypeScript JSX     |         41 |          9 |          5 |         55 |
| a:\GCET BLOG\GcetBlog\src\components\CollectionArchive\index.tsx                      | TypeScript JSX     |         25 |          0 |          6 |         31 |
| a:\GCET BLOG\GcetBlog\src\components\CommentForm\index.tsx                            | TypeScript JSX     |         83 |          0 |         15 |         98 |
| a:\GCET BLOG\GcetBlog\src\components\CommentList\index.tsx                            | TypeScript JSX     |        267 |         12 |         27 |        306 |
| a:\GCET BLOG\GcetBlog\src\components\DraftModeBanner.tsx                              | TypeScript JSX     |         28 |          0 |          2 |         30 |
| a:\GCET BLOG\GcetBlog\src\components\GlobalSearchBar\index.tsx                        | TypeScript JSX     |        330 |         19 |         22 |        371 |
| a:\GCET BLOG\GcetBlog\src\components\GoogleSignInButton.tsx                           | TypeScript JSX     |         63 |          0 |          6 |         69 |
| a:\GCET BLOG\GcetBlog\src\components\Header\AuthButton.tsx                            | TypeScript JSX     |         68 |          0 |         10 |         78 |
| a:\GCET BLOG\GcetBlog\src\components\InstagramEmbedLoader.tsx                         | TypeScript JSX     |         27 |          2 |          6 |         35 |
| a:\GCET BLOG\GcetBlog\src\components\LandingPage\CTASection.tsx                       | TypeScript JSX     |         97 |          4 |         10 |        111 |
| a:\GCET BLOG\GcetBlog\src\components\LandingPage\FeaturedPosts.tsx                    | TypeScript JSX     |        115 |          8 |         12 |        135 |
| a:\GCET BLOG\GcetBlog\src\components\LandingPage\FeaturesSection.tsx                  | TypeScript JSX     |         81 |          2 |          4 |         87 |
| a:\GCET BLOG\GcetBlog\src\components\LandingPage\HeroSection.tsx                      | TypeScript JSX     |        124 |          4 |         13 |        141 |
| a:\GCET BLOG\GcetBlog\src\components\LandingPage\HomePosts.tsx                        | TypeScript JSX     |        161 |          8 |         12 |        181 |
| a:\GCET BLOG\GcetBlog\src\components\LandingPage\RecentPostsSection.tsx               | TypeScript JSX     |        127 |          8 |         12 |        147 |
| a:\GCET BLOG\GcetBlog\src\components\LandingPage\StatsSection.tsx                     | TypeScript JSX     |        102 |          4 |         12 |        118 |
| a:\GCET BLOG\GcetBlog\src\components\LandingPage\index.ts                             | TypeScript         |          5 |          0 |          1 |          6 |
| a:\GCET BLOG\GcetBlog\src\components\Link\index.tsx                                   | TypeScript JSX     |         63 |          0 |          4 |         67 |
| a:\GCET BLOG\GcetBlog\src\components\LivePreviewListener\index.tsx                    | TypeScript JSX     |          9 |          0 |          2 |         11 |
| a:\GCET BLOG\GcetBlog\src\components\Logo\Logo.tsx                                    | TypeScript JSX     |         24 |          1 |          5 |         30 |
| a:\GCET BLOG\GcetBlog\src\components\LogoutButton\index.tsx                           | TypeScript JSX     |         39 |          4 |          7 |         50 |
| a:\GCET BLOG\GcetBlog\src\components\Media\ImageMedia\index.tsx                       | TypeScript JSX     |         61 |          2 |         16 |         79 |
| a:\GCET BLOG\GcetBlog\src\components\Media\VideoMedia\index.tsx                       | TypeScript JSX     |         34 |          3 |         10 |         47 |
| a:\GCET BLOG\GcetBlog\src\components\Media\index.tsx                                  | TypeScript JSX     |         20 |          0 |          6 |         26 |
| a:\GCET BLOG\GcetBlog\src\components\Media\types.ts                                   | TypeScript         |         20 |          0 |          3 |         23 |
| a:\GCET BLOG\GcetBlog\src\components\ModernCTA\index.tsx                              | TypeScript JSX     |         61 |          4 |          7 |         72 |
| a:\GCET BLOG\GcetBlog\src\components\ModernFeatures\index.tsx                         | TypeScript JSX     |         95 |          4 |          8 |        107 |
| a:\GCET BLOG\GcetBlog\src\components\NewsletterSignup\index.tsx                       | TypeScript JSX     |        125 |          9 |         12 |        146 |
| a:\GCET BLOG\GcetBlog\src\components\PageRange\index.tsx                              | TypeScript JSX     |         51 |          0 |          7 |         58 |
| a:\GCET BLOG\GcetBlog\src\components\PageViewTracker\index.tsx                        | TypeScript JSX     |         34 |         10 |          9 |         53 |
| a:\GCET BLOG\GcetBlog\src\components\Pagination\index.tsx                             | TypeScript JSX     |         91 |          0 |         11 |        102 |
| a:\GCET BLOG\GcetBlog\src\components\PayloadRedirects\index.tsx                       | TypeScript JSX     |         40 |          1 |          8 |         49 |
| a:\GCET BLOG\GcetBlog\src\components\PostComments\index.tsx                           | TypeScript JSX     |         49 |          5 |         10 |         64 |
| a:\GCET BLOG\GcetBlog\src\components\RichTextEditor\RichTextEditor.tsx                | TypeScript JSX     |        347 |         23 |         45 |        415 |
| a:\GCET BLOG\GcetBlog\src\components\RichTextEditor\editor.css                        | PostCSS            |         22 |          2 |          6 |         30 |
